Id,TagName,Count,ExcerptPostId,WikiPostId
589,accidents,49,63097,63096
592,track-racing,27,,
595,glasses,30,37083,37082
598,organized-rides,10,,
601,brake-noise,35,5817,5816
605,bike-vs-car,30,,
606,mirrors,14,,
607,equipment,43,,
608,stationary-bike,26,6943,6942
617,preparation,9,,
621,coolweather,7,,
622,penny-farthing,11,8559,8558
623,cable,203,44734,44733
624,shifting,259,40489,40488
630,chainline,62,91293,91292
631,bamboo,4,6979,6978
634,shocks,62,,
637,7-speed,40,38511,38510
638,axle,176,63093,63092
639,multi-tool,10,7558,7557
642,drivetrain-slipping,55,7941,7940
643,repair-stand,11,91727,91726
644,aerodynamics,67,38513,38512
645,skewer,34,,
646,titanium,36,41316,41315
649,compatibility,548,27445,27444
651,long-distance,90,91721,91720
657,navigation,27,9465,9464
660,men-specific,4,9400,9399
662,liability,3,,
664,handlebar-tape,32,,
665,cleat,62,38867,38866
666,replacement,252,44730,44729
669,sun-protection,14,9645,9644
671,shorts,27,,
672,rear-wheel,231,44787,44786
674,xc,26,18719,18718
678,animal-attack,4,,
679,muscle-pain,16,,
683,lbs,18,10427,10426
685,trackstand,5,91710,91709
686,competition,11,,
688,doping,6,10979,10978
690,racing-bikes,15,,
691,racing-strategy,10,38548,38547
693,preventative-maintenance,95,20792,20791
695,campagnolo,113,37081,37080
696,taillight,28,,
698,clamp,34,,
703,adjustment-screw,22,,
704,gravel,146,68257,68256
707,california,11,,
712,toe-straps-clips,12,,
713,toe-overlap,4,91712,91711
716,century,17,13259,13258
720,advice,56,,
721,animals,12,44697,44696
724,garmin,61,16367,16366
728,night-riding,12,,
730,650b,9,14093,14092
733,nexus,61,91295,91294
734,derailleur-rear,602,38888,38887
735,rails,5,,
736,failure,22,,
737,downhill,66,80672,80671
738,nipples,27,92116,92115
740,flip-flop-hub,14,15023,15022
741,pain,61,88710,88709
744,tubeless,161,15238,15237
749,skipping,36,92114,92113
751,citi-bike,6,91725,91724
752,bike-share,10,42074,42073
753,topeak,10,,
755,basket,8,,
757,braking,23,75508,75507
758,trek,100,44688,44687
759,beginner,88,,
762,lefty-fork,6,16949,16948
766,tire-lever,8,51753,51752
768,reliability,8,17850,17849
769,diamondback,26,,
771,rotor,69,91297,91296
779,new-bicycle-assembly,42,45259,45258
780,vintage,314,44732,44731
782,brake-levers,158,63101,63100
789,fatbike,34,20669,20668
790,tension,50,,
791,hills,26,,
792,interrupter-brakes,7,,
793,pads,14,,
797,shimano-di2,56,91256,91255
802,battery,67,,
805,cable-routing,60,,
808,tire-pressure,110,91717,91716
809,handcycle,4,24336,24335
812,freehub,169,34622,34621
813,steerer,62,,
817,pedals-flat,21,,
818,pedals-clipless,46,,
821,hanger,23,,
822,alignment,43,,
823,ant+,4,29775,29774
824,groupsets,84,30172,30171
825,jumping,25,,
827,grease,57,,
828,mud,11,,
829,specialized-bikes,65,57486,57485
832,bike-handling,8,,
839,giant,91,45448,45447
840,strava,37,36919,36918
842,comfort,31,,
843,uci,12,38898,38897
844,dynamo,101,91263,91262
845,cones,27,77309,77308
847,cable-housing,56,,
848,derailleur-front,202,87510,87509
849,bikepacking,36,43811,43810
850,vibration,20,,
856,road,152,63091,63090
858,dicycle,1,36800,36799
859,sociable,2,36802,36801
862,hypothetical,15,37021,37020
863,drum-brakes,14,,
867,tall,18,40713,40712
871,disability,12,46043,46042
872,amsterdam,2,,
875,shaft,5,38654,38653
876,alfine,29,57876,57875
879,steps,4,43861,43860
880,balance,17,,
881,balance-bike,5,40562,40561
884,sealant,61,41363,41362
892,rohloff,23,91937,91936
893,chrome,7,43374,43373
895,theoretical,16,79538,79537
905,hyperglide,8,,
907,customization,23,51412,51411
908,fabrication,2,44556,44555
914,trivia,2,44855,44854
916,boost,4,44943,44942
917,boost-spacing,3,44945,44944
918,flatbar,15,,
923,draisine,2,45100,45099
924,lockout,11,89909,89908
926,peugeot,22,,
927,bso,21,45179,45178
929,bb30,11,,
930,bsa,8,,
932,charging,13,63061,63060
937,drop-bar,44,91765,91764
939,adaptive,18,46041,46040
944,fox,8,91723,91722
950,japan,6,47308,47307
951,hardtail,23,91305,91304
955,tour-de-france,28,,
956,sensor,21,49292,49291
959,shim,7,,
960,french,8,,
962,bolt,57,,
964,heavy,31,51533,51532
965,high-spoke-count,2,,
966,derailleur-hanger,51,50077,50076
967,roller-brake,8,50220,50219
968,wheel-lock,7,50238,50237
970,band-brake,2,50970,50969
972,tourney,13,50544,50543
973,alternative-drivetrain,7,,
976,new-rider,26,50968,50967
977,bullhorn,6,,
978,brifters,30,92127,92126
980,small,9,51231,51230
981,size,121,,
983,clydesdale,25,51529,51528
988,tyre-width,38,,
989,statistics,6,,
991,bodges,6,51733,51732
1004,television,1,52561,52560
1005,math,10,53799,53798
1006,tall-bike,1,53869,53868
1010,movie,6,54076,54075
1013,zipp,7,,
1014,gates,23,92076,92075
1019,wobble,26,,
1020,newbie,14,,
1021,frame-protection,11,,
1022,schwinn,25,,
1025,hollowtech,19,,
1026,time-trial,14,,
1028,press-fit,20,,
1029,youth,2,56066,56065
1030,serial-number,34,75829,75828
1032,steering,22,,
1037,crash,23,63099,63098
1040,dirt-jumps,7,,
1041,chain-guide,6,57677,57676
1044,dropper,21,91939,91938
1045,endurance,18,58488,58487
1046,grip-shifter,24,,
1047,rickshaw,3,,
1049,aero-bars,11,60214,60213
1050,barrel-adjuster,16,,
1051,cross-thread,7,,
1053,paint,97,92044,92043
1058,disc-wheel,5,,
1061,decals,7,,
1062,dunlop,4,64193,64192
1065,chainring-oval,9,,
1069,force,6,,
1074,tubular,9,,
1077,wax,13,89133,89132
1079,bike-friday,6,65709,65708
1080,tern,3,65951,65950
1081,india,5,65810,65809
1088,fastener,3,,
1091,april-fools,6,88137,88136
1092,tiagra,27,67232,67231
1093,1x11,27,,
1094,1x10,6,,
1095,workout,9,,
1097,fatigue,6,,
1098,cold-set,3,67708,67707
1099,canonical-answer,11,76027,76026
1100,raleigh,8,,
1101,badge,11,68430,68429
1102,tektro,13,75128,75127
1105,clearance,10,,
1106,magura,11,,
1108,threadless,4,,
1110,computer,5,,
1111,hydraulic,19,,
1114,ribble,3,,
1119,through-axle,88,,
1120,hydraulic-rim-brake,3,,
1126,welding,7,,
1128,3t,2,,
1130,headtube,9,,
1131,crownrace,10,,
1134,air-spring,4,76751,76750
1135,adapter,9,90489,90488
1136,carbon-fork,19,,
1137,torque,20,,
1139,microshift,8,,
1144,motor,23,76151,76150
1147,cottered-cranks,6,,
1150,fsa,3,,
1153,reuse,5,77079,77078
1157,sturmey-archer,13,,
1161,transmission,11,,
1162,105,20,91254,91253
1166,coil,3,,
1173,brooks,2,80723,80722
1174,gearing,13,,
1175,grx,25,91261,91260
1176,mix-and-match,2,,
1193,threaded-bottom-bracket,15,,
1194,square-taper,10,,
1197,1-by-x,3,82077,82076
1198,bontrager,3,,
1200,seattube,9,,
1206,zwift,4,,
1211,caliper,21,,
1214,dtswiss,7,,
1222,bicycle-power,2,,
1225,12-speed,5,,
1226,canyon,5,,
1228,kick-scooter,6,85070,85069
1232,wahoo,17,,
1233,1x12,2,,
1235,mechanic,4,,
1236,bike-industry,2,,
1237,bike-coop,1,86067,86066
1244,rear,8,,
1245,xtr,4,,
1248,stuck,6,,
1249,miyata,2,,
1259,friction-shifter,5,,
1262,roadside-repair,5,,
1264,axs,3,,
1270,rules,2,,
1271,intersections,3,,
1272,pinarello,3,,
1275,pinion,2,92074,92073
1276,halo,1,90372,90371
1277,netherlands,4,90814,90813
1278,bead,1,,
1279,blowout,1,,
1280,continuously-variable-transmission,1,90957,90956
1281,downgrade,2,91083,91082
1282,cold,3,,
1283,sweat,2,,
1284,cues,4,91135,91134
1285,linkglide,4,91143,91142
1286,foam,1,,
1287,inserts,1,,
1288,studded,1,,
1289,fix,1,,
1290,belgium,2,91312,91311
1291,n55,1,91657,91656
1292,truing-stand,2,91730,91729
1293,skip-tooth,3,91756,91755
1295,fake,1,,
1296,retul,1,91818,91817
1298,dot,1,,
1299,flat-mount,1,91984,91983
1300,pulley,1,,
1302,clean,1,,
1303,doormat,1,,
1304,apartment,1,,
1305,thermometer,1,,
1306,lube,1,,
1307,spray,1,,
1308,low-spoke-count,1,,
1309,mittens,1,,
1310,fingers,1,,
1311,service,1,,
1312,number,1,,
1313,cantilever,3,,
1314,concave,1,,
1316,deceleration,1,,
